0ad a22-3
lib32-gnutls 3.5.13-1
lib32-gtk-engines 2.21.0-3
lib32-gtk2 2.24.31-1
lib32-harfbuzz 1.7.1-1
lib32-icu 60.1-1
lib32-keyutils 1.5.10-1
lib32-krb5 1.15.2-1
lib32-lcms2 2.8-1
lib32-libasyncns 0.8+3+g68cd5af-1
lib32-libcanberra 0.30-4
lib32-libcanberra-pulse 0.30-4
lib32-libcap 2.25-1
lib32-libcups 2.2.4-2
lib32-libdatrie 0.2.10-1
lib32-libdrm 2.4.88-1
lib32-libelf 0.170-1
lib32-libffi 3.2.1-1
lib32-libgcrypt 1.8.1-1
lib32-libglvnd 0.2.999+g4ba53457-3
lib32-libgpg-error 1.27-1
lib32-libgudev 232-1
lib32-libice 1.0.9-1
lib32-libidn 1.33-1
lib32-libjpeg-turbo 1.5.2-2
lib32-libldap 2.4.44-2
lib32-libltdl 2.4.6-8
lib32-libnl 3.4.0-1
lib32-libogg 1.3.3-2
lib32-libpcap 1.8.1-1
lib32-libpciaccess 0.14-1
lib32-libpng 1.6.34-1
lib32-libpsl 0.18.0-2
lib32-libpulse 11.1-1
lib32-libsm 1.2.2-2
lib32-libsndfile 1.0.28-1
lib32-libssh2 1.8.0-2
lib32-libstdc++5 3.3.6-7
lib32-libtasn1 4.12-1
lib32-libthai 0.1.26-1
lib32-libtiff 4.0.8-1
lib32-libtxc_dxtn 1.0.1-5
lib32-libusb 1.0.21-1
lib32-libva 1.8.3-1
lib32-libva-intel-driver 1.8.3-1
lib32-libvorbis 1.3.5-1
lib32-libx11 1.6.5-1
lib32-libxau 1.0.8-2
lib32-libxcb 1.12-2
lib32-libxcomposite 0.4.4-2
lib32-libxcursor 1.1.15-1
lib32-libxdamage 1.1.4-2
lib32-libxdmcp 1.1.2-1
lib32-libxext 1.3.3-1
lib32-libxfixes 5.0.3-1
lib32-libxft 2.3.2-1
lib32-libxi 1.7.9-1
lib32-libxinerama 1.1.3-2
lib32-libxml2 2.9.4+16+g07418011-2
lib32-libxmu 1.1.2-1
lib32-libxrandr 1.5.1-1
lib32-libxrender 0.9.10-1
lib32-libxshmfence 1.2-1
lib32-libxss 1.2.2-2
lib32-libxt 1.1.5-1
lib32-libxtst 1.2.3-1
lib32-libxxf86vm 1.1.4-1
lib32-llvm-libs 5.0.0-1
lib32-lm_sensors 3.4.0-1
lib32-mesa 17.2.6-0
lib32-mesa-demos 8.3.0-3
lib32-mesa-vdpau 17.2.6-0
lib32-ncurses 6.0+20170902-1
lib32-nettle 3.3-1
lib32-nspr 4.15-1
lib32-nss 3.34-1
lib32-openal 1.18.2-1
lib32-openssl 1:1.1.0.f-1.1
lib32-p11-kit 0.23.9-1
lib32-pango 1.40.6+9+g92cc73c8-1
lib32-pcre 8.40-1
lib32-pixman 0.34.0-1
lib32-readline 7.0.003-1
lib32-speex 1.2.0-1
lib32-speexdsp 1.2rc3-1
lib32-sqlite 3.21.0-1
lib32-systemd 235.38-1
lib32-tdb 1.3.15-1
lib32-util-linux 2.31-1
lib32-wayland 1.14.0-1
lib32-xz 5.2.3-1
lib32-zlib 1.2.11-1
libabw 0.1.1-2
libaccounts-glib 1.23-2
libaccounts-qt 1.15-1
libaio 0.3.110-1
